	Name_neighbourhood_group	neighbourhood_group	Name_neighbourhood	neighbourhood	Name_room_type	room_type	Name_bed_type	bed_type	Name_risk_rating	risk_rating	Name_cancellation_policy	cancellation_policy	neighbourhood_group	neighbourhood	room_type
791	Central Region	0	Kallang	15	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	15	0
792	Central Region	0	Downtown Core	10	Private room	2	Real Bed	4	High risk	0	flexible	0	0	10	2
793	Central Region	0	Singapore River	33	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	33	0
794	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	1
795	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	1
796	Central Region	0	Rochor	29	Private room	2	Real Bed	4	High risk	0	flexible	0	0	29	2
797	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
798	East Region	1	Bedok	1	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	1	1	0
799	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	15	1
800	Central Region	0	Rochor	29	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	29	0
801	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
802	Central Region	0	Bukit Merah	4	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	4	0
803	East Region	1	Pasir Ris	24	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	1	24	2
804	Central Region	0	Downtown Core	10	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	10	2
805	North Region	2	Woodlands	40	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	2	40	2
806	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	15	2
807	Central Region	0	Bishan	2	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	2	2
808	North-East Region	3	Hougang	12	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	3	12	0
809	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	11	0
810	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Low risk	1	flexible	0	0	11	0
811	Central Region	0	Orchard	22	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	22	0
812	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	15	2
813	Central Region	0	Downtown Core	10	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	10	0
814	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	11	0
815	Central Region	0	Bishan	2	Private room	2	Real Bed	4	High risk	0	flexible	0	0	2	2
816	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
817	Central Region	0	Downtown Core	10	Entire home/apt	0	Real Bed	4	Low risk	1	moderate	1	0	10	0
818	Central Region	0	Downtown Core	10	Entire home/apt	0	Real Bed	4	Low risk	1	moderate	1	0	10	0
819	Central Region	0	Downtown Core	10	Entire home/apt	0	Real Bed	4	Low risk	1	moderate	1	0	10	0
820	East Region	1	Pasir Ris	24	Entire home/apt	0	Real Bed	4	Low risk	1	moderate	1	1	24	0
821	Central Region	0	Tanglin	37	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	37	0
822	North Region	2	Mandai	16	Private room	2	Real Bed	4	Low risk	1	moderate	1	2	16	2
823	Central Region	0	Bukit Timah	6	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	6	2
824	Central Region	0	Bukit Merah	4	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	4	0
825	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
826	Central Region	0	Outram	23	Private room	2	Real Bed	4	High risk	0	flexible	0	0	23	2
827	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	28	0
828	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	moderate	1	1	1	2
829	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
830	West Region	4	Clementi	9	Private room	2	Real Bed	4	High risk	0	flexible	0	4	9	2
831	North-East Region	3	Punggol	26	Private room	2	Real Bed	4	Low risk	1	flexible	0	3	26	2
832	Central Region	0	Tanglin	37	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	37	2
833	Central Region	0	Queenstown	27	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	27	0
834	Central Region	0	Downtown Core	10	Shared room	3	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	10	3
835	Central Region	0	Queenstown	27	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	27	0
836	West Region	4	Jurong West	14	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	4	14	2
837	West Region	4	Jurong East	13	Private room	2	Real Bed	4	Low risk	1	flexible	0	4	13	2
838	East Region	1	Tampines	36	Private room	2	Real Bed	4	Low risk	1	moderate	1	1	36	2
839	Central Region	0	Queenstown	27	Shared room	3	Real Bed	4	High risk	0	flexible	0	0	27	3
840	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
841	Central Region	0	Rochor	29	Shared room	3	Real Bed	4	High risk	0	flexible	0	0	29	3
842	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	High risk	0	flexible	0	0	15	3
843	Central Region	0	Queenstown	27	Private room	2	Real Bed	4	High risk	0	flexible	0	0	27	2
844	West Region	4	Choa Chu Kang	8	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	4	8	0
845	Central Region	0	Geylang	11	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	11	2
846	Central Region	0	River Valley	28	Private room	2	Real Bed	4	High risk	0	flexible	0	0	28	2
847	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	Medium risk	2	flexible	0	0	15	3
848	Central Region	0	Novena	21	Private room	2	Real Bed	4	Medium risk	2	flexible	0	0	21	2
849	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
850	Central Region	0	Downtown Core	10	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	10	0
851	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	High risk	0	moderate	1	0	15	3
852	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	moderate	1	0	15	2
853	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	15	2
854	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
855	Central Region	0	Queenstown	27	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	27	0
856	Central Region	0	Bukit Merah	4	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	4	0
857	North Region	2	Woodlands	40	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	2	40	0
858	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	11	0
859	Central Region	0	Downtown Core	10	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	10	0
860	Central Region	0	Novena	21	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	21	2
861	East Region	1	Tampines	36	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	1	36	2
862	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Low risk	1	moderate	1	0	11	0
863	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	High risk	0	moderate	1	0	15	3
864	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	High risk	0	moderate	1	0	15	3
865	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	Medium risk	2	flexible	0	0	15	3
866	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	High risk	0	flexible	0	0	15	3
867	Central Region	0	Outram	23	Hotel room	1	Real Bed	4	High risk	0	moderate	1	0	23	1
868	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	High risk	0	moderate	1	0	15	3
869	North-East Region	3	Serangoon	32	Private room	2	Real Bed	4	High risk	0	moderate	1	3	32	2
870	North Region	2	Sembawang	30	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	2	30	2
871	Central Region	0	Toa Payoh	38	Private room	2	Real Bed	4	High risk	0	flexible	0	0	38	2
872	Central Region	0	Queenstown	27	Private room	2	Real Bed	4	High risk	0	flexible	0	0	27	2
873	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Medium risk	2	moderate	1	0	11	0
874	Central Region	0	Singapore River	33	Shared room	3	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	33	3
875	North Region	2	Sembawang	30	Shared room	3	Real Bed	4	High risk	0	flexible	0	2	30	3
876	Central Region	0	Orchard	22	Entire home/apt	0	Real Bed	4	Medium risk	2	moderate	1	0	22	0
877	East Region	1	Bedok	1	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	1	1	0
878	Central Region	0	River Valley	28	Private room	2	Real Bed	4	High risk	0	flexible	0	0	28	2
879	North Region	2	Mandai	16	Private room	2	Real Bed	4	Low risk	1	moderate	1	2	16	2
880	Central Region	0	Queenstown	27	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	27	2
881	Central Region	0	Queenstown	27	Private room	2	Real Bed	4	High risk	0	flexible	0	0	27	2
883	East Region	1	Tampines	36	Private room	2	Real Bed	4	High risk	0	moderate	1	1	36	2
884	Central Region	0	Downtown Core	10	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	10	0
885	Central Region	0	Kallang	15	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	15	0
886	North-East Region	3	Sengkang	31	Private room	2	Real Bed	4	High risk	0	flexible	0	3	31	2
887	Central Region	0	Outram	23	Hotel room	1	Real Bed	4	High risk	0	moderate	1	0	23	1
888	Central Region	0	Bukit Merah	4	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	4	0
889	Central Region	0	Marine Parade	18	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	18	2
890	North Region	2	Yishun	41	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	2	41	2
891	North-East Region	3	Serangoon	32	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	3	32	0
892	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	28	0
893	Central Region	0	Novena	21	Private room	2	Real Bed	4	High risk	0	flexible	0	0	21	2
894	Central Region	0	Marine Parade	18	Private room	2	Real Bed	4	High risk	0	flexible	0	0	18	2
895	Central Region	0	Singapore River	33	Shared room	3	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	33	3
896	West Region	4	Clementi	9	Private room	2	Real Bed	4	High risk	0	flexible	0	4	9	2
897	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	28	0
898	Central Region	0	Outram	23	Entire home/apt	0	Real Bed	4	Medium risk	2	moderate	1	0	23	0
899	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	High risk	0	moderate	1	0	15	1
900	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	High risk	0	moderate	1	0	15	1
901	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	High risk	0	moderate	1	0	15	3
902	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	High risk	0	moderate	1	0	15	3
903	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	High risk	0	moderate	1	0	15	1
904	Central Region	0	Rochor	29	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	29	0
905	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	High risk	0	moderate	1	0	15	1
906	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	High risk	0	moderate	1	0	15	3
907	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	Medium risk	2	moderate	1	0	15	1
908	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	High risk	0	moderate	1	0	15	1
909	Central Region	0	Queenstown	27	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	27	0
910	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	21	0
911	Central Region	0	Newton	20	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	20	0
912	Central Region	0	River Valley	28	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	2
913	Central Region	0	Rochor	29	Shared room	3	Real Bed	4	Medium risk	2	flexible	0	0	29	3
914	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	15	2
915	North-East Region	3	Serangoon	32	Private room	2	Real Bed	4	High risk	0	flexible	0	3	32	2
916	North-East Region	3	Ang Mo Kio	0	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	3	0	0
917	Central Region	0	Marine Parade	18	Private room	2	Real Bed	4	High risk	0	flexible	0	0	18	2
918	North Region	2	Sembawang	30	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	2	30	2
919	East Region	1	Bedok	1	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	1	1	0
920	Central Region	0	Rochor	29	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	29	0
921	Central Region	0	Novena	21	Hotel room	1	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	21	1
922	Central Region	0	Museum	19	Private room	2	Real Bed	4	High risk	0	flexible	0	0	19	2
923	Central Region	0	River Valley	28	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	2
924	East Region	1	Bedok	1	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	1	1	0
925	Central Region	0	Bukit Merah	4	Private room	2	Real Bed	4	High risk	0	flexible	0	0	4	2
926	Central Region	0	Geylang	11	Private room	2	Real Bed	4	Low risk	1	flexible	0	0	11	2
927	East Region	1	Bedok	1	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	1	1	2
928	North-East Region	3	Hougang	12	Private room	2	Real Bed	4	High risk	0	flexible	0	3	12	2
929	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	11	0
930	Central Region	0	Geylang	11	Shared room	3	Real Bed	4	High risk	0	flexible	0	0	11	3
931	Central Region	0	Kallang	15	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	0
932	Central Region	0	Outram	23	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	23	0
933	Central Region	0	Geylang	11	Private room	2	Real Bed	4	High risk	0	flexible	0	0	11	2
934	Central Region	0	Geylang	11	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	11	2
935	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	28	0
936	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	28	0
938	North-East Region	3	Hougang	12	Private room	2	Real Bed	4	High risk	0	flexible	0	3	12	2
939	Central Region	0	Outram	23	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	0
940	Central Region	0	Downtown Core	10	Entire home/apt	0	Real Bed	4	Low risk	1	moderate	1	0	10	0
941	Central Region	0	River Valley	28	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	2
942	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
943	Central Region	0	Geylang	11	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	11	2
944	Central Region	0	Rochor	29	Shared room	3	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	29	3
945	Central Region	0	Kallang	15	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	0
946	Central Region	0	River Valley	28	Shared room	3	Couch	1	High risk	0	flexible	0	0	28	3
947	East Region	1	Pasir Ris	24	Entire home/apt	0	Real Bed	4	Low risk	1	flexible	0	1	24	0
948	Central Region	0	Rochor	29	Private room	2	Real Bed	4	High risk	0	flexible	0	0	29	2
949	Central Region	0	Rochor	29	Shared room	3	Real Bed	4	Medium risk	2	flexible	0	0	29	3
950	Central Region	0	Rochor	29	Shared room	3	Real Bed	4	Medium risk	2	flexible	0	0	29	3
951	East Region	1	Pasir Ris	24	Private room	2	Real Bed	4	High risk	0	moderate	1	1	24	2
952	Central Region	0	Marine Parade	18	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	18	0
953	Central Region	0	Outram	23	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	0
954	Central Region	0	Outram	23	Private room	2	Real Bed	4	High risk	0	flexible	0	0	23	2
955	Central Region	0	Newton	20	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	20	0
956	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
957	West Region	4	Bukit Batok	3	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	4	3	0
958	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
959	North-East Region	3	Punggol	26	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	3	26	2
960	Central Region	0	Rochor	29	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	29	2
961	Central Region	0	Queenstown	27	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	27	0
962	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	28	0
963	Central Region	0	Southern Islands	34	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	34	0
964	Central Region	0	Downtown Core	10	Private room	2	Real Bed	4	High risk	0	flexible	0	0	10	2
965	Central Region	0	Orchard	22	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	22	0
966	Central Region	0	Bukit Timah	6	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	6	0
967	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
968	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
969	North-East Region	3	Serangoon	32	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	3	32	2
971	Central Region	0	Outram	23	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	23	0
972	Central Region	0	Tanglin	37	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	37	0
973	East Region	1	Bedok	1	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	1	1	0
974	Central Region	0	Singapore River	33	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	33	0
975	East Region	1	Pasir Ris	24	Private room	2	Real Bed	4	High risk	0	flexible	0	1	24	2
976	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	flexible	0	0	15	2
977	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	11	0
978	Central Region	0	Bukit Timah	6	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	6	2
979	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	Medium risk	2	flexible	0	0	28	0
980	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	moderate	1	0	15	2
981	Central Region	0	Rochor	29	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	29	2
982	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	21	0
984	Central Region	0	Outram	23	Private room	2	Real Bed	4	High risk	0	flexible	0	0	23	2
985	East Region	1	Bedok	1	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	1	1	0
986	Central Region	0	Toa Payoh	38	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	38	2
987	Central Region	0	Queenstown	27	Private room	2	Real Bed	4	High risk	0	flexible	0	0	27	2
988	Central Region	0	Tanglin	37	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	37	0
989	East Region	1	Bedok	1	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	1	1	0
990	West Region	4	Clementi	9	Private room	2	Real Bed	4	High risk	0	flexible	0	4	9	2
991	North Region	2	Woodlands	40	Private room	2	Real Bed	4	Low risk	1	flexible	0	2	40	2
992	Central Region	0	Toa Payoh	38	Private room	2	Real Bed	4	High risk	0	flexible	0	0	38	2
993	East Region	1	Bedok	1	Entire home/apt	0	Real Bed	4	Low risk	1	flexible	0	1	1	0
994	Central Region	0	Kallang	15	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	0
995	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	21	0
996	West Region	4	Clementi	9	Private room	2	Real Bed	4	Low risk	1	flexible	0	4	9	2
997	Central Region	0	Tanglin	37	Private room	2	Real Bed	4	High risk	0	flexible	0	0	37	2
998	West Region	4	Clementi	9	Private room	2	Real Bed	4	High risk	0	flexible	0	4	9	2
999	North Region	2	Sembawang	30	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	2	30	2
1000	North Region	2	Sembawang	30	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	2	30	2
1001	North Region	2	Sembawang	30	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	2	30	2
1002	North Region	2	Sembawang	30	Shared room	3	Real Bed	4	High risk	0	strict_14_with_grace_period	2	2	30	3
1003	Central Region	0	Bishan	2	Entire home/apt	0	Real Bed	4	Low risk	1	flexible	0	0	2	0
1004	Central Region	0	Toa Payoh	38	Private room	2	Real Bed	4	High risk	0	flexible	0	0	38	2
1005	Central Region	0	Marine Parade	18	Private room	2	Real Bed	4	High risk	0	flexible	0	0	18	2
1006	Central Region	0	Kallang	15	Entire home/apt	0	Real Bed	4	Low risk	1	moderate	1	0	15	0
1007	Central Region	0	Outram	23	Private room	2	Real Bed	4	High risk	0	flexible	0	0	23	2
1008	Central Region	0	Bishan	2	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	2	2
1009	Central Region	0	Toa Payoh	38	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	38	2
1010	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	21	0
1011	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	21	0
1012	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	21	0
1013	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	21	0
1014	North Region	2	Woodlands	40	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	2	40	0
1015	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	21	0
1016	Central Region	0	Rochor	29	Shared room	3	Real Bed	4	High risk	0	flexible	0	0	29	3
1017	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	21	0
1018	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	11	0
1019	Central Region	0	Downtown Core	10	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	10	2
1020	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	21	0
1021	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	21	0
1022	West Region	4	Bukit Batok	3	Private room	2	Real Bed	4	High risk	0	flexible	0	4	3	2
1023	West Region	4	Bukit Panjang	5	Private room	2	Real Bed	4	High risk	0	flexible	0	4	5	2
1024	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
1026	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	21	0
1027	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	21	0
1028	Central Region	0	Rochor	29	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	29	2
1029	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
1030	Central Region	0	Tanglin	37	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	37	0
1031	Central Region	0	Queenstown	27	Private room	2	Real Bed	4	High risk	0	flexible	0	0	27	2
1032	West Region	4	Bukit Batok	3	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	4	3	0
1033	Central Region	0	Rochor	29	Private room	2	Real Bed	4	High risk	0	flexible	0	0	29	2
1034	West Region	4	Choa Chu Kang	8	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	4	8	2
1035	West Region	4	Jurong West	14	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	4	14	2
1036	Central Region	0	Kallang	15	Entire home/apt	0	Real Bed	4	Low risk	1	flexible	0	0	15	0
1037	East Region	1	Pasir Ris	24	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	1	24	0
1038	Central Region	0	Novena	21	Hotel room	1	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	21	1
1039	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	21	0
1040	North Region	2	Woodlands	40	Private room	2	Real Bed	4	High risk	0	flexible	0	2	40	2
1041	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	28	0
1042	West Region	4	Bukit Batok	3	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	4	3	2
1043	Central Region	0	Marine Parade	18	Private room	2	Real Bed	4	High risk	0	moderate	1	0	18	2
1044	Central Region	0	Rochor	29	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	29	0
1045	West Region	4	Jurong West	14	Shared room	3	Real Bed	4	High risk	0	flexible	0	4	14	3
1046	Central Region	0	Orchard	22	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	22	0
1047	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	0
1048	Central Region	0	River Valley	28	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	2
1050	West Region	4	Clementi	9	Private room	2	Real Bed	4	High risk	0	flexible	0	4	9	2
1051	West Region	4	Jurong West	14	Private room	2	Real Bed	4	High risk	0	flexible	0	4	14	2
